"CONTA_SUPERIOR","CLASSE_CONTABIL","BK_CONTA11","BK_CONTA10","BK_CONTA9","BK_CONTA8","BK_CONTA7","BK_CONTA6","BK_CONTA5","BK_CONTA4","BK_CONTA3","BK_CONTA2","BK_CONTA1","CT1_DESC01_11","CT1_DESC01_10","CT1_DESC01_9","CT1_DESC01_8","CT1_DESC01_7","CT1_DESC01_6","CT1_DESC01_5","CT1_DESC01_4","CT1_DESC01_3","CT1_DESC01_2","CT1_DESC01_1","CT1_CONTA_11","CT1_CONTA_10","CT1_CONTA_9","CT1_CONTA_8","CT1_CONTA_7","CT1_CONTA_6","CT1_CONTA_5","CT1_CONTA_4","CT1_CONTA_3","CT1_CONTA_2","CT1_CONTA_1","BK_AK5_CODIGO5"
"                    ","1","P |01|CT1200||1","P |01|CT1200||1","P |01|CT1200||1","P |01|CT1200||1","P |01|CT1200||1","P |01|CT1200||1","P |01|CT1200||1","P |01|CT1200||1","P |01|CT1200||1","P |01|CT1200||1","P |01|CT1200||1","ATIVO                                   ","ATIVO                                   ","ATIVO                                   ","ATIVO                                   ","ATIVO                                   ","ATIVO                                   ","ATIVO                                   ","ATIVO                                   ","ATIVO                                   ","ATIVO                                   ","ATIVO                                   ","1                   ","1                   ","1                   ","1                   ","1                   ","1                   ","1                   ","1                   ","1                   ","1                   ","1                   ","P |01|AK5200||"
"                    ","1","P |01|CT1200||2","P |01|CT1200||2","P |01|CT1200||2","P |01|CT1200||2","P |01|CT1200||2","P |01|CT1200||2","P |01|CT1200||2","P |01|CT1200||2","P |01|CT1200||2","P |01|CT1200||2","P |01|CT1200||2","PASSIVO                                 ","PASSIVO                                 ","PASSIVO                                 ","PASSIVO                                 ","PASSIVO                                 ","PASSIVO                                 ","PASSIVO                                 ","PASSIVO                                 ","PASSIVO                                 ","PASSIVO                                 ","PASSIVO                                 ","2                   ","2                   ","2                   ","2                   ","2                   ","2                   ","2                   ","2                   ","2                   ","2                   ","2                   ","P |01|AK5200||"
"                    ","1","P |01|CT1200||3","P |01|CT1200||3","P |01|CT1200||3","P |01|CT1200||3","P |01|CT1200||3","P |01|CT1200||3","P |01|CT1200||3","P |01|CT1200||3","P |01|CT1200||3","P |01|CT1200||3","P |01|CT1200||3","RECEITAS OPERACIONAIS                   ","RECEITAS OPERACIONAIS                   ","RECEITAS OPERACIONAIS                   ","RECEITAS OPERACIONAIS                   ","RECEITAS OPERACIONAIS                   ","RECEITAS OPERACIONAIS                   ","RECEITAS OPERACIONAIS                   ","RECEITAS OPERACIONAIS                   ","RECEITAS OPERACIONAIS                   ","RECEITAS OPERACIONAIS                   ","RECEITAS OPERACIONAIS                   ","3                   ","3                   ","3                   ","3                   ","3                   ","3                   ","3                   ","3                   ","3                   ","3                   ","3                   ","P |01|AK5200||"
"                    ","1","P |01|CT1200||4","P |01|CT1200||4","P |01|CT1200||4","P |01|CT1200||4","P |01|CT1200||4","P |01|CT1200||4","P |01|CT1200||4","P |01|CT1200||4","P |01|CT1200||4","P |01|CT1200||4","P |01|CT1200||4","DESPESAS                                ","DESPESAS                                ","DESPESAS                                ","DESPESAS                                ","DESPESAS                                ","DESPESAS                                ","DESPESAS                                ","DESPESAS                                ","DESPESAS                                ","DESPESAS                                ","DESPESAS                                ","4                   ","4                   ","4                   ","4                   ","4                   ","4                   ","4                   ","4                   ","4                   ","4                   ","4                   ","P |01|AK5200||"
"                    ","1","P |01|CT1200||5","P |01|CT1200||5","P |01|CT1200||5","P |01|CT1200||5","P |01|CT1200||5","P |01|CT1200||5","P |01|CT1200||5","P |01|CT1200||5","P |01|CT1200||5","P |01|CT1200||5","P |01|CT1200||5","DESPESAS NAO OPERACIONAIS               ","DESPESAS NAO OPERACIONAIS               ","DESPESAS NAO OPERACIONAIS               ","DESPESAS NAO OPERACIONAIS               ","DESPESAS NAO OPERACIONAIS               ","DESPESAS NAO OPERACIONAIS               ","DESPESAS NAO OPERACIONAIS               ","DESPESAS NAO OPERACIONAIS               ","DESPESAS NAO OPERACIONAIS               ","DESPESAS NAO OPERACIONAIS               ","DESPESAS NAO OPERACIONAIS               ","5                   ","5                   ","5                   ","5                   ","5                   ","5                   ","5                   ","5                   ","5                   ","5                   ","5                   ","P |01|AK5200||"
"                    ","1","P |01|CT1200||6","P |01|CT1200||6","P |01|CT1200||6","P |01|CT1200||6","P |01|CT1200||6","P |01|CT1200||6","P |01|CT1200||6","P |01|CT1200||6","P |01|CT1200||6","P |01|CT1200||6","P |01|CT1200||6","RECEITAS FINANCEIRAS                    ","RECEITAS FINANCEIRAS                    ","RECEITAS FINANCEIRAS                    ","RECEITAS FINANCEIRAS                    ","RECEITAS FINANCEIRAS                    ","RECEITAS FINANCEIRAS                    ","RECEITAS FINANCEIRAS                    ","RECEITAS FINANCEIRAS                    ","RECEITAS FINANCEIRAS                    ","RECEITAS FINANCEIRAS                    ","RECEITAS FINANCEIRAS                    ","6                   ","6                   ","6                   ","6                   ","6                   ","6                   ","6                   ","6                   ","6                   ","6                   ","6                   ","P |01|AK5200||"
"                    ","1","P |01|CT1200||7","P |01|CT1200||7","P |01|CT1200||7","P |01|CT1200||7","P |01|CT1200||7","P |01|CT1200||7","P |01|CT1200||7","P |01|CT1200||7","P |01|CT1200||7","P |01|CT1200||7","P |01|CT1200||7","DISTRIBUICAO DE LUCROS                  ","DISTRIBUICAO DE LUCROS                  ","DISTRIBUICAO DE LUCROS                  ","DISTRIBUICAO DE LUCROS                  ","DISTRIBUICAO DE LUCROS                  ","DISTRIBUICAO DE LUCROS                  ","DISTRIBUICAO DE LUCROS                  ","DISTRIBUICAO DE LUCROS                  ","DISTRIBUICAO DE LUCROS                  ","DISTRIBUICAO DE LUCROS                  ","DISTRIBUICAO DE LUCROS                  ","7                   ","7                   ","7                   ","7                   ","7                   ","7                   ","7                   ","7                   ","7                   ","7                   ","7                   ","P |01|AK5200||"
"                    ","1","P |01|CT1200||8","P |01|CT1200||8","P |01|CT1200||8","P |01|CT1200||8","P |01|CT1200||8","P |01|CT1200||8","P |01|CT1200||8","P |01|CT1200||8","P |01|CT1200||8","P |01|CT1200||8","P |01|CT1200||8","PROVISOES IMPOSTOS S/RESULTADO          ","PROVISOES IMPOSTOS S/RESULTADO          ","PROVISOES IMPOSTOS S/RESULTADO          ","PROVISOES IMPOSTOS S/RESULTADO          ","PROVISOES IMPOSTOS S/RESULTADO          ","PROVISOES IMPOSTOS S/RESULTADO          ","PROVISOES IMPOSTOS S/RESULTADO          ","PROVISOES IMPOSTOS S/RESULTADO          ","PROVISOES IMPOSTOS S/RESULTADO          ","PROVISOES IMPOSTOS S/RESULTADO          ","PROVISOES IMPOSTOS S/RESULTADO          ","8                   ","8                   ","8                   ","8                   ","8                   ","8                   ","8                   ","8                   ","8                   ","8                   ","8                   ","P |01|AK5200||"
"                    ","1","P |01|CT1200||9","P |01|CT1200||9","P |01|CT1200||9","P |01|CT1200||9","P |01|CT1200||9","P |01|CT1200||9","P |01|CT1200||9","P |01|CT1200||9","P |01|CT1200||9","P |01|CT1200||9","P |01|CT1200||9","CONTAS TRANSITORIAS                     ","CONTAS TRANSITORIAS                     ","CONTAS TRANSITORIAS                     ","CONTAS TRANSITORIAS                     ","CONTAS TRANSITORIAS                     ","CONTAS TRANSITORIAS                     ","CONTAS TRANSITORIAS                     ","CONTAS TRANSITORIAS                     ","CONTAS TRANSITORIAS                     ","CONTAS TRANSITORIAS                     ","CONTAS TRANSITORIAS                     ","9                   ","9                   ","9                   ","9                   ","9                   ","9                   ","9                   ","9                   ","9                   ","9                   ","9                   ","P |01|AK5200||"
"                    ","2","P |01|CT1200||999999","P |01|CT1200||999999","P |01|CT1200||999999","P |01|CT1200||999999","P |01|CT1200||999999","P |01|CT1200||999999","P |01|CT1200||999999","P |01|CT1200||999999","P |01|CT1200||999999","P |01|CT1200||999999","P |01|CT1200||999999","EXCEDENTE LALUR                         ","EXCEDENTE LALUR                         ","EXCEDENTE LALUR                         ","EXCEDENTE LALUR                         ","EXCEDENTE LALUR                         ","EXCEDENTE LALUR                         ","EXCEDENTE LALUR                         ","EXCEDENTE LALUR                         ","EXCEDENTE LALUR                         ","EXCEDENTE LALUR                         ","EXCEDENTE LALUR                         ","999999              ","999999              ","999999              ","999999              ","999999              ","999999              ","999999              ","999999              ","999999              ","999999              ","999999              ","P |01|AK5200||"
